x1      x2     x3      d
0.20   0.22   0.21    -1
0.00   0.80   0.25    -1
0.90   0.65   1.00    -1
0.43   1.00   0.58     1
0.53   0.90   0.51     1
0.43   0.64   0.63    -1
0.65   0.59   0.55     1
0.39   0.39   0.51    -1
0.37   0.53   0.28     1
0.36   0.49   0.35     1
0.48   0.65   0.62    -1
0.44   0.91   0.52     1
0.49   0.50   0.55    -1
0.47   0.05   0.36    -1
0.74   0.26   0.66    -1
0.13   0.00   0.04    -1
0.46   0.92   0.55     1
0.42   0.70   0.52     1
0.42   0.89   0.46     1
0.53   0.30   0.40     1
0.34   0.31   0.53    -1
0.16   0.80   0.20     1
0.09   0.62   0.07     1
0.50   0.24   0.38     1
0.05   0.72   0.00     1
0.47   0.22   0.38    -1
0.34   0.59   0.52    -1
1.00   0.84   0.91     1
0.88   0.60   0.88    -1
0.42   0.34   0.36     1
